jobid,submit,start,end,nnodes,duration,max_memory,randomness
256,170565560,170565737,170566589,1,851,84,0.18298962067226043
257,170565560,170565737,170566653,1,916,111,0.8304862000666495
258,170565560,170565737,170566807,1,1070,88,0.20694545348873494
259,170565560,170565737,170566785,1,1048,89,0.16426858954022294
260,170565560,170565564,170565926,1,362,21,0.8300892366581666
261,170565562,170565737,170566528,1,790,90,0.30422147722108706
262,170565562,170565737,170566481,1,744,90,0.39508885574243824
263,170565562,170565749,170566826,1,1077,88,0.8468994618876626
264,170565562,170565774,170566997,1,1222,112,0.016146573327975977
265,170565562,170565860,170567224,1,1363,58,0.625575098105342
266,170565562,170565910,170566794,1,884,59,0.27902750571528234
267,170565563,170565910,170566874,1,964,64,0.21776272288144838
268,170565563,170565910,170566666,1,755,59,0.032190249082200806
269,170565563,170565910,170566693,1,783,59,0.4297562151625791
270,170565563,170565910,170566718,1,807,59,0.565590438011058
271,170565563,170565910,170566745,1,835,59,0.8977849966114423
272,170565563,170565910,170566497,1,587,59,0.7910997336344464
273,170565563,170565910,170566561,1,651,59,0.3880967587944991
274,170565563,170565910,170566777,1,867,58,0.29152354122627344
275,170565563,170565910,170567038,1,1128,58,0.08183180320176053
276,170565563,170565910,170566555,1,645,57,0.8172552680400782
277,170565563,170565910,170566493,1,582,66,0.881731225942977
278,170565563,170565935,170566802,1,867,56,0.09920392686676371
279,170565563,170565922,170566695,1,773,58,0.3246861629005935
280,170565563,170565984,170566873,1,888,58,0.2924061682665563
281,170565563,170565984,170566889,1,904,58,0.805739267110114
282,170565563,170566146,170566891,1,744,58,0.20309252587910787
283,170565563,170566146,170566991,1,845,58,0.5471413319570594
284,170565563,170567391,170568254,1,862,58,0.8935619882623457
285,170565563,170567418,170568504,1,1086,79,0.8930089248450601
286,170565563,170567418,170568461,1,1042,89,0.8800388225510698
287,170565563,170567495,170568545,1,1049,68,0.6310354906427906
288,170565563,170567495,170568522,1,1027,61,0.6628455271826628
289,170565563,170567600,170568500,1,899,137,0.2912224660750159
290,170565563,170567600,170568484,1,884,57,0.5341205732465928
291,170565563,170567600,170568968,1,1368,57,0.9475454343880688
292,170565563,170567600,170568996,1,1395,58,0.9281900656444616
293,170565563,170567600,170568876,1,1275,58,0.3252584414626485
294,170565563,170567627,170569022,1,1395,59,0.8927147912589012
295,170565563,170567693,170569123,1,1429,113,0.19913468764061815
296,170565563,170567707,170569117,1,1410,62,0.5504153952425467
297,170565563,170567746,170569157,1,1410,73,0.3965311318355308
298,170565563,170567853,170569259,1,1406,63,0.7704432330038262
299,170565563,170567853,170569040,1,1187,57,0.42199805433481274
300,170565563,170567853,170569143,1,1290,64,0.3224613681794626
301,170565564,170567853,170568849,1,996,85,0.7555176228826169
302,170565564,170567879,170569172,1,1292,58,0.4395192567526186
303,170565564,170568297,170569274,1,977,58,0.594397839649491
304,170565564,170568297,170569220,1,922,62,0.6320487797376859
305,170565564,170568297,170569304,1,1006,63,0.49469409264924713
306,170565564,170568310,170569474,1,1163,70,0.16741446480311395
307,170565564,170568310,170569502,1,1192,97,0.7896347135898845
308,170565564,170568323,170569248,1,924,63,0.9513416736024799
309,170565564,170568323,170569099,1,776,58,0.9298400404740762
310,170565564,170568336,170569145,1,809,56,0.3337955141989286
311,170565564,170568375,170569148,1,773,93,0.8581994246239668
312,170565564,170568415,170569272,1,857,57,0.12547436056679195
313,170565564,170568467,170569467,1,1000,68,0.9936478812899381
314,170565564,170568480,170569464,1,984,70,0.9693812281586576
315,170565564,170568493,170569638,1,1144,99,0.004472730661942648
316,170565564,170568493,170569631,1,1137,89,0.9768055884509653
317,170565564,170568534,170569518,1,983,73,0.3173698539953932
318,170565564,170568534,170569477,1,943,57,0.5060724821942775
319,170565564,170568534,170569491,1,956,57,0.9375434296288351
320,170565564,170568534,170569502,1,967,57,0.25102986367282787
321,170565564,170568534,170569436,1,902,57,0.8246858353569547
322,170565564,170568534,170569416,1,881,57,0.7654582750049972
323,170565564,170568547,170569521,1,974,68,0.6036333906301871
324,170565565,170568586,170569545,1,959,69,0.4527852040404202
325,170565565,170568586,170569722,1,1136,65,0.058798226294941136
330,170565598,170565600,170566099,1,499,21,0.9244872948332771
331,170565612,170565614,170566113,1,499,22,0.6201546413116698
332,170565620,170565621,170566311,1,690,168,0.5213007213625354
333,170565631,170565632,170566055,1,423,40,0.45077263586468974
334,170565632,170565633,170565695,1,61,120,0.8438400162956677
335,170565635,170565636,170565687,1,50,53,0.2913314271920733
336,170565648,170565650,170566152,1,501,20,0.39833945900933665
337,170565650,170565651,170566150,1,499,20,0.5883194215986615
338,170565658,170565658,170565662,2,4,17,0.5340146331412693
339,170565662,170565664,170566167,1,503,23,0.17586303926004032
340,170565690,170565690,170565994,2,303,27,0.29807288254060016
