jobid,submit,start,end,nnodes,duration,memory
2962186,166031675,166031675,166032338,4,662,66
2962187,166031675,166031675,166034391,4,2715,285
2962188,166031676,166031676,166034391,4,2714,281
2962189,166031494,166031494,166031882,1,387,444
2962190,166031494,166031494,166031930,1,435,445
2962191,166031494,166031494,166031909,1,414,447
2962192,166031494,166031494,166031900,1,405,447
2962193,166031494,166031494,166031923,1,428,445
2962194,166031494,166031494,166031924,1,430,443
2962195,166031494,166031494,166031897,1,402,442
2962196,166031494,166031494,166031896,1,401,445
2962197,166031494,166031494,166031913,1,419,445
2962198,166031494,166031494,166031902,1,407,442
2962199,166031494,166031494,166031904,1,409,447
2962200,166031494,166031494,166031900,1,405,444
2962201,166031494,166031494,166031917,1,422,447
2962202,166031494,166031494,166031896,1,401,446
2962203,166031494,166031494,166031894,1,400,444
2962204,166031494,166031494,166031894,1,399,446
2962205,166031494,166031494,166031897,1,402,447
2962206,166031494,166031494,166031882,1,387,444
2962207,166031494,166031494,166031880,1,386,442
2962208,166031494,166031494,166031921,1,427,442
2962209,166031494,166031494,166031927,1,432,443
2962210,166031494,166031494,166031920,1,425,442
2962211,166031494,166031494,166031901,1,406,442
2962212,166031494,166031494,166031903,1,409,445
2962213,166031494,166031494,166031927,1,432,448
2962214,166031494,166031494,166031862,1,368,444
2962215,166031494,166031494,166031964,1,469,446
2962216,166031494,166031494,166031920,1,425,443
2962217,166031494,166031494,166031913,1,418,442
2962218,166031494,166031494,166031907,1,412,446
2962219,166031494,166031494,166031914,1,420,444
2962220,166031494,166031494,166031886,1,391,444
2962221,166031494,166031494,166031886,1,391,447
2962222,166031494,166031494,166031894,1,399,447
2962223,166031494,166031494,166031898,1,404,442
2962224,166031494,166031494,166031891,1,396,447
2962225,166031494,166031494,166031919,1,424,443
2962226,166031494,166031494,166031903,1,408,442
2962227,166031494,166031494,166031913,1,419,445
2962228,166031494,166031494,166031890,1,395,442
2962229,166031494,166031494,166031930,1,435,445
2962230,166031494,166031494,166031943,1,448,445
2962231,166031494,166031494,166031885,1,391,444
2962232,166031494,166031494,166031901,1,407,445
2962233,166031494,166031494,166032002,1,508,443
2962234,166031494,166031494,166031874,1,380,443
2962235,166031494,166031494,166031873,1,378,447
2962236,166031494,166031494,166031892,1,397,445
2962237,166031494,166031494,166031896,1,401,446
2962238,166031494,166031494,166031892,1,397,451
2962239,166031494,166031494,166031910,1,416,444
2962240,166031494,166031494,166031955,1,460,447
2962241,166031494,166031494,166031908,1,414,443
2962242,166031494,166031494,166031890,1,395,442
2962243,166031494,166031494,166031925,1,431,444
2962244,166031494,166031494,166031911,1,417,443
2962245,166031494,166031494,166031861,1,366,445
2962246,166031494,166031494,166031916,1,421,443
2962247,166031494,166031494,166031919,1,425,444
2962248,166031494,166031494,166031911,1,417,443
2962249,166031497,166031497,166031895,1,398,443
2962250,166031529,166031529,166031927,1,397,443
2962251,166031676,166031676,166035985,8,4309,49
2962253,166031539,166031539,166031926,1,387,444
2962254,166031675,166031675,166032223,2,547,78
2962271,166031683,166031683,166036007,1,4323,39
2962276,166031596,166031596,166032005,1,408,447
2962279,166031685,166031685,166036007,1,4321,40
2962283,166031634,166031634,166032026,1,391,443
2962294,166031675,166031675,166032218,2,542,82
2962305,166031927,166031927,166034088,20,2161,42
